crack_id,image_file,severity,marker_color,safe_max_diagonal_mm,danger_min_diagonal_mm,target_diagonal_mm,target_width_mm,target_height_mm,target_diagonal_to_tunnel_diameter,target_u_center,target_v_center,target_world_x_m,target_theta_deg,original_diagonal_mm,scale_factor,u_min,u_max,v_min,v_max
crack_001,crack_001.png,caution,orange,80.000,160.000,115.000,85.094,77.352,0.164286,0.120000,0.140000,-3.600,43.200,24.776,4.641533,0.099323544,0.140703678,0.135014067,0.145195395
crack_002,crack_002.png,danger,red,80.000,160.000,230.000,147.246,176.674,0.328571,0.420000,0.820000,3.200,151.200,26.034,8.834768,0.371835015,0.468117694,0.809845261,0.828127903
crack_003,crack_003.png,safe,green,80.000,160.000,65.000,49.620,41.983,0.092857,0.310000,0.360000,-1.400,111.600,28.382,2.290166,0.297173555,0.322835276,0.357921331,0.363175423
crack_004,crack_004.png,caution,orange,80.000,160.000,155.000,106.760,112.368,0.221429,0.200000,0.680000,1.800,72.000,22.988,6.742735,0.175563205,0.227036154,0.674010300,0.685626898
crack_005,crack_005.png,safe,green,80.000,160.000,45.000,30.523,33.062,0.064286,0.450000,0.500000,0.000,162.000,29.486,1.526156,0.440706310,0.459500300,0.497743446,0.502060562
crack_006,crack_006.png,danger,red,80.000,160.000,180.000,130.345,124.129,0.257143,0.100000,0.880000,3.800,36.000,24.167,7.448293,0.057874984,0.139277876,0.871977665,0.888251486
crack_007,crack_007.png,caution,orange,80.000,160.000,90.000,64.927,62.322,0.128571,0.380000,0.220000,-2.800,136.800,28.879,3.116502,0.361987993,0.395956944,0.216351565,0.223648614
crack_008,crack_008.png,safe,green,80.000,160.000,75.000,50.173,55.743,0.107143,0.240000,0.080000,-4.200,86.400,22.422,3.344902,0.224885088,0.254885438,0.077031786,0.083098555
crack_009,crack_009.png,danger,red,80.000,160.000,300.000,236.250,184.882,0.428571,0.320000,0.940000,4.400,115.200,24.339,12.326133,0.257904456,0.381237195,0.926109802,0.955335137
crack_010,crack_010.png,caution,orange,80.000,160.000,140.000,90.434,106.862,0.200000,0.080000,0.580000,0.800,28.800,28.382,4.932771,0.047700503,0.110594239,0.574542545,0.585786095
